,filepaths,labels
96,../input/100-bird-species/train/AFRICAN CROWNED CRANE/098.jpg,AFRICAN CROWNED CRANE
97,../input/100-bird-species/train/AFRICAN CROWNED CRANE/099.jpg,AFRICAN CROWNED CRANE
98,../input/100-bird-species/train/AFRICAN CROWNED CRANE/100.jpg,AFRICAN CROWNED CRANE
99,../input/100-bird-species/train/AFRICAN CROWNED CRANE/101.jpg,AFRICAN CROWNED CRANE
100,../input/100-bird-species/train/AFRICAN CROWNED CRANE/102.jpg,AFRICAN CROWNED CRANE
101,../input/100-bird-species/train/AFRICAN CROWNED CRANE/103.jpg,AFRICAN CROWNED CRANE
102,../input/100-bird-species/train/AFRICAN CROWNED CRANE/104.jpg,AFRICAN CROWNED CRANE
103,../input/100-bird-species/train/AFRICAN CROWNED CRANE/105.jpg,AFRICAN CROWNED CRANE
104,../input/100-bird-species/train/AFRICAN CROWNED CRANE/106.jpg,AFRICAN CROWNED CRANE
105,../input/100-bird-species/train/AFRICAN CROWNED CRANE/107.jpg,AFRICAN CROWNED CRANE
106,../input/100-bird-species/train/AFRICAN CROWNED CRANE/108.jpg,AFRICAN CROWNED CRANE
107,../input/100-bird-species/train/AFRICAN CROWNED CRANE/109.jpg,AFRICAN CROWNED CRANE
108,../input/100-bird-species/train/AFRICAN CROWNED CRANE/110.jpg,AFRICAN CROWNED CRANE
109,../input/100-bird-species/train/AFRICAN CROWNED CRANE/112.jpg,AFRICAN CROWNED CRANE
110,../input/100-bird-species/train/AFRICAN CROWNED CRANE/113.jpg,AFRICAN CROWNED CRANE
111,../input/100-bird-species/train/AFRICAN CROWNED CRANE/114.jpg,AFRICAN CROWNED CRANE
112,../input/100-bird-species/train/AFRICAN CROWNED CRANE/115.jpg,AFRICAN CROWNED CRANE
113,../input/100-bird-species/train/AFRICAN CROWNED CRANE/116.jpg,AFRICAN CROWNED CRANE
114,../input/100-bird-species/train/AFRICAN CROWNED CRANE/118.jpg,AFRICAN CROWNED CRANE
115,../input/100-bird-species/train/AFRICAN CROWNED CRANE/119.jpg,AFRICAN CROWNED CRANE
116,../input/100-bird-species/train/AFRICAN CROWNED CRANE/120.jpg,AFRICAN CROWNED CRANE
117,../input/100-bird-species/train/AFRICAN CROWNED CRANE/121.jpg,AFRICAN CROWNED CRANE
118,../input/100-bird-species/train/AFRICAN CROWNED CRANE/122.jpg,AFRICAN CROWNED CRANE
119,../input/100-bird-species/train/AFRICAN CROWNED CRANE/123.jpg,AFRICAN CROWNED CRANE
120,../input/100-bird-species/train/AFRICAN CROWNED CRANE/124.jpg,AFRICAN CROWNED CRANE
121,../input/100-bird-species/train/AFRICAN CROWNED CRANE/125.jpg,AFRICAN CROWNED CRANE
122,../input/100-bird-species/train/AFRICAN CROWNED CRANE/126.jpg,AFRICAN CROWNED CRANE
123,../input/100-bird-species/train/AFRICAN CROWNED CRANE/127.jpg,AFRICAN CROWNED CRANE
124,../input/100-bird-species/train/AFRICAN CROWNED CRANE/128.jpg,AFRICAN CROWNED CRANE
125,../input/100-bird-species/train/AFRICAN CROWNED CRANE/129.jpg,AFRICAN CROWNED CRANE
126,../input/100-bird-species/train/AFRICAN CROWNED CRANE/130.jpg,AFRICAN CROWNED CRANE
127,../input/100-bird-species/train/AFRICAN CROWNED CRANE/131.jpg,AFRICAN CROWNED CRANE
128,../input/100-bird-species/train/AFRICAN CROWNED CRANE/132.jpg,AFRICAN CROWNED CRANE
129,../input/100-bird-species/train/AFRICAN CROWNED CRANE/133.jpg,AFRICAN CROWNED CRANE
130,../input/100-bird-species/train/AFRICAN CROWNED CRANE/134.jpg,AFRICAN CROWNED CRANE
131,../input/100-bird-species/train/AFRICAN CROWNED CRANE/135.jpg,AFRICAN CROWNED CRANE
132,../input/100-bird-species/train/AFRICAN CROWNED CRANE/136.jpg,AFRICAN CROWNED CRANE
133,../input/100-bird-species/train/AFRICAN CROWNED CRANE/137.jpg,AFRICAN CROWNED CRANE
134,../input/100-bird-species/train/AFRICAN CROWNED CRANE/138.jpg,AFRICAN CROWNED CRANE
135,../input/100-bird-species/train/AFRICAN CROWNED CRANE/139.jpg,AFRICAN CROWNED CRANE
136,../input/100-bird-species/train/AFRICAN CROWNED CRANE/140.jpg,AFRICAN CROWNED CRANE
137,../input/100-bird-species/train/AFRICAN FIREFINCH/001.jpg,AFRICAN FIREFINCH
138,../input/100-bird-species/train/AFRICAN FIREFINCH/002.jpg,AFRICAN FIREFINCH
139,../input/100-bird-species/train/AFRICAN FIREFINCH/003.jpg,AFRICAN FIREFINCH
140,../input/100-bird-species/train/AFRICAN FIREFINCH/004.jpg,AFRICAN FIREFINCH
141,../input/100-bird-species/train/AFRICAN FIREFINCH/005.jpg,AFRICAN FIREFINCH
142,../input/100-bird-species/train/AFRICAN FIREFINCH/006.jpg,AFRICAN FIREFINCH
143,../input/100-bird-species/train/AFRICAN FIREFINCH/007.jpg,AFRICAN FIREFINCH
144,../input/100-bird-species/train/AFRICAN FIREFINCH/008.jpg,AFRICAN FIREFINCH
145,../input/100-bird-species/train/AFRICAN FIREFINCH/009.jpg,AFRICAN FIREFINCH
146,../input/100-bird-species/train/AFRICAN FIREFINCH/010.jpg,AFRICAN FIREFINCH
147,../input/100-bird-species/train/AFRICAN FIREFINCH/011.jpg,AFRICAN FIREFINCH
148,../input/100-bird-species/train/AFRICAN FIREFINCH/012.jpg,AFRICAN FIREFINCH
149,../input/100-bird-species/train/AFRICAN FIREFINCH/013.jpg,AFRICAN FIREFINCH
150,../input/100-bird-species/train/AFRICAN FIREFINCH/014.jpg,AFRICAN FIREFINCH
151,../input/100-bird-species/train/AFRICAN FIREFINCH/015.jpg,AFRICAN FIREFINCH
152,../input/100-bird-species/train/AFRICAN FIREFINCH/016.jpg,AFRICAN FIREFINCH
153,../input/100-bird-species/train/AFRICAN FIREFINCH/017.jpg,AFRICAN FIREFINCH
154,../input/100-bird-species/train/AFRICAN FIREFINCH/018.jpg,AFRICAN FIREFINCH
155,../input/100-bird-species/train/AFRICAN FIREFINCH/019.jpg,AFRICAN FIREFINCH
156,../input/100-bird-species/train/AFRICAN FIREFINCH/020.jpg,AFRICAN FIREFINCH
157,../input/100-bird-species/train/AFRICAN FIREFINCH/021.jpg,AFRICAN FIREFINCH
158,../input/100-bird-species/train/AFRICAN FIREFINCH/022.jpg,AFRICAN FIREFINCH
159,../input/100-bird-species/train/AFRICAN FIREFINCH/023.jpg,AFRICAN FIREFINCH
160,../input/100-bird-species/train/AFRICAN FIREFINCH/024.jpg,AFRICAN FIREFINCH
161,../input/100-bird-species/train/AFRICAN FIREFINCH/025.jpg,AFRICAN FIREFINCH
162,../input/100-bird-species/train/AFRICAN FIREFINCH/026.jpg,AFRICAN FIREFINCH
163,../input/100-bird-species/train/AFRICAN FIREFINCH/027.jpg,AFRICAN FIREFINCH
164,../input/100-bird-species/train/AFRICAN FIREFINCH/028.jpg,AFRICAN FIREFINCH
165,../input/100-bird-species/train/AFRICAN FIREFINCH/029.jpg,AFRICAN FIREFINCH
166,../input/100-bird-species/train/AFRICAN FIREFINCH/030.jpg,AFRICAN FIREFINCH
167,../input/100-bird-species/train/AFRICAN FIREFINCH/031.jpg,AFRICAN FIREFINCH
168,../input/100-bird-species/train/AFRICAN FIREFINCH/032.jpg,AFRICAN FIREFINCH
169,../input/100-bird-species/train/AFRICAN FIREFINCH/033.jpg,AFRICAN FIREFINCH
170,../input/100-bird-species/train/AFRICAN FIREFINCH/034.jpg,AFRICAN FIREFINCH
171,../input/100-bird-species/train/AFRICAN FIREFINCH/035.jpg,AFRICAN FIREFINCH
172,../input/100-bird-species/train/AFRICAN FIREFINCH/036.jpg,AFRICAN FIREFINCH
173,../input/100-bird-species/train/AFRICAN FIREFINCH/037.jpg,AFRICAN FIREFINCH
174,../input/100-bird-species/train/AFRICAN FIREFINCH/038.jpg,AFRICAN FIREFINCH
175,../input/100-bird-species/train/AFRICAN FIREFINCH/039.jpg,AFRICAN FIREFINCH
176,../input/100-bird-species/train/AFRICAN FIREFINCH/040.jpg,AFRICAN FIREFINCH
177,../input/100-bird-species/train/AFRICAN FIREFINCH/041.jpg,AFRICAN FIREFINCH
178,../input/100-bird-species/train/AFRICAN FIREFINCH/042.jpg,AFRICAN FIREFINCH
179,../input/100-bird-species/train/AFRICAN FIREFINCH/043.jpg,AFRICAN FIREFINCH
180,../input/100-bird-species/train/AFRICAN FIREFINCH/044.jpg,AFRICAN FIREFINCH
181,../input/100-bird-species/train/AFRICAN FIREFINCH/045.jpg,AFRICAN FIREFINCH
182,../input/100-bird-species/train/AFRICAN FIREFINCH/046.jpg,AFRICAN FIREFINCH
183,../input/100-bird-species/train/AFRICAN FIREFINCH/047.jpg,AFRICAN FIREFINCH
184,../input/100-bird-species/train/AFRICAN FIREFINCH/048.jpg,AFRICAN FIREFINCH
185,../input/100-bird-species/train/AFRICAN FIREFINCH/049.jpg,AFRICAN FIREFINCH
186,../input/100-bird-species/train/AFRICAN FIREFINCH/050.jpg,AFRICAN FIREFINCH
187,../input/100-bird-species/train/AFRICAN FIREFINCH/051.jpg,AFRICAN FIREFINCH
188,../input/100-bird-species/train/AFRICAN FIREFINCH/052.jpg,AFRICAN FIREFINCH
189,../input/100-bird-species/train/AFRICAN FIREFINCH/053.jpg,AFRICAN FIREFINCH
190,../input/100-bird-species/train/AFRICAN FIREFINCH/054.jpg,AFRICAN FIREFINCH
191,../input/100-bird-species/train/AFRICAN FIREFINCH/055.jpg,AFRICAN FIREFINCH
192,../input/100-bird-species/train/AFRICAN FIREFINCH/056.jpg,AFRICAN FIREFINCH
193,../input/100-bird-species/train/AFRICAN FIREFINCH/057.jpg,AFRICAN FIREFINCH
194,../input/100-bird-species/train/AFRICAN FIREFINCH/058.jpg,AFRICAN FIREFINCH
195,../input/100-bird-species/train/AFRICAN FIREFINCH/059.jpg,AFRICAN FIREFINCH
196,../input/100-bird-species/train/AFRICAN FIREFINCH/060.jpg,AFRICAN FIREFINCH
197,../input/100-bird-species/train/AFRICAN FIREFINCH/061.jpg,AFRICAN FIREFINCH
198,../input/100-bird-species/train/AFRICAN FIREFINCH/062.jpg,AFRICAN FIREFINCH
199,../input/100-bird-species/train/AFRICAN FIREFINCH/063.jpg,AFRICAN FIREFINCH
200,../input/100-bird-species/train/AFRICAN FIREFINCH/064.jpg,AFRICAN FIREFINCH
201,../input/100-bird-species/train/AFRICAN FIREFINCH/065.jpg,AFRICAN FIREFINCH
202,../input/100-bird-species/train/AFRICAN FIREFINCH/066.jpg,AFRICAN FIREFINCH
203,../input/100-bird-species/train/AFRICAN FIREFINCH/067.jpg,AFRICAN FIREFINCH
204,../input/100-bird-species/train/AFRICAN FIREFINCH/068.jpg,AFRICAN FIREFINCH
205,../input/100-bird-species/train/AFRICAN FIREFINCH/069.jpg,AFRICAN FIREFINCH
206,../input/100-bird-species/train/AFRICAN FIREFINCH/070.jpg,AFRICAN FIREFINCH
207,../input/100-bird-species/train/AFRICAN FIREFINCH/071.jpg,AFRICAN FIREFINCH
208,../input/100-bird-species/train/AFRICAN FIREFINCH/072.jpg,AFRICAN FIREFINCH
209,../input/100-bird-species/train/AFRICAN FIREFINCH/073.jpg,AFRICAN FIREFINCH
210,../input/100-bird-species/train/AFRICAN FIREFINCH/074.jpg,AFRICAN FIREFINCH
211,../input/100-bird-species/train/AFRICAN FIREFINCH/075.jpg,AFRICAN FIREFINCH
212,../input/100-bird-species/train/AFRICAN FIREFINCH/076.jpg,AFRICAN FIREFINCH
213,../input/100-bird-species/train/AFRICAN FIREFINCH/077.jpg,AFRICAN FIREFINCH
214,../input/100-bird-species/train/AFRICAN FIREFINCH/078.jpg,AFRICAN FIREFINCH
215,../input/100-bird-species/train/AFRICAN FIREFINCH/079.jpg,AFRICAN FIREFINCH
216,../input/100-bird-species/train/AFRICAN FIREFINCH/080.jpg,AFRICAN FIREFINCH
217,../input/100-bird-species/train/AFRICAN FIREFINCH/081.jpg,AFRICAN FIREFINCH
218,../input/100-bird-species/train/AFRICAN FIREFINCH/082.jpg,AFRICAN FIREFINCH
219,../input/100-bird-species/train/AFRICAN FIREFINCH/083.jpg,AFRICAN FIREFINCH
220,../input/100-bird-species/train/AFRICAN FIREFINCH/084.jpg,AFRICAN FIREFINCH
221,../input/100-bird-species/train/AFRICAN FIREFINCH/085.jpg,AFRICAN FIREFINCH
222,../input/100-bird-species/train/AFRICAN FIREFINCH/086.jpg,AFRICAN FIREFINCH
223,../input/100-bird-species/train/AFRICAN FIREFINCH/087.jpg,AFRICAN FIREFINCH
224,../input/100-bird-species/train/AFRICAN FIREFINCH/088.jpg,AFRICAN FIREFINCH
225,../input/100-bird-species/train/AFRICAN FIREFINCH/089.jpg,AFRICAN FIREFINCH
226,../input/100-bird-species/train/AFRICAN FIREFINCH/090.jpg,AFRICAN FIREFINCH
227,../input/100-bird-species/train/AFRICAN FIREFINCH/091.jpg,AFRICAN FIREFINCH
228,../input/100-bird-species/train/AFRICAN FIREFINCH/092.jpg,AFRICAN FIREFINCH
229,../input/100-bird-species/train/AFRICAN FIREFINCH/093.jpg,AFRICAN FIREFINCH
230,../input/100-bird-species/train/AFRICAN FIREFINCH/094.jpg,AFRICAN FIREFINCH
231,../input/100-bird-species/train/AFRICAN FIREFINCH/095.jpg,AFRICAN FIREFINCH
232,../input/100-bird-species/train/AFRICAN FIREFINCH/096.jpg,AFRICAN FIREFINCH
233,../input/100-bird-species/train/AFRICAN FIREFINCH/097.jpg,AFRICAN FIREFINCH
234,../input/100-bird-species/train/AFRICAN FIREFINCH/098.jpg,AFRICAN FIREFINCH
235,../input/100-bird-species/train/AFRICAN FIREFINCH/099.jpg,AFRICAN FIREFINCH
236,../input/100-bird-species/train/AFRICAN FIREFINCH/100.jpg,AFRICAN FIREFINCH
237,../input/100-bird-species/train/AFRICAN FIREFINCH/101.jpg,AFRICAN FIREFINCH
238,../input/100-bird-species/train/AFRICAN FIREFINCH/102.jpg,AFRICAN FIREFINCH
239,../input/100-bird-species/train/AFRICAN FIREFINCH/103.jpg,AFRICAN FIREFINCH
240,../input/100-bird-species/train/AFRICAN FIREFINCH/104.jpg,AFRICAN FIREFINCH
241,../input/100-bird-species/train/AFRICAN FIREFINCH/105.jpg,AFRICAN FIREFINCH
242,../input/100-bird-species/train/AFRICAN FIREFINCH/106.jpg,AFRICAN FIREFINCH
243,../input/100-bird-species/train/AFRICAN FIREFINCH/107.jpg,AFRICAN FIREFINCH
244,../input/100-bird-species/train/AFRICAN FIREFINCH/108.jpg,AFRICAN FIREFINCH
245,../input/100-bird-species/train/AFRICAN FIREFINCH/109.jpg,AFRICAN FIREFINCH
246,../input/100-bird-species/train/AFRICAN FIREFINCH/110.jpg,AFRICAN FIREFINCH
247,../input/100-bird-species/train/AFRICAN FIREFINCH/111.jpg,AFRICAN FIREFINCH
248,../input/100-bird-species/train/AFRICAN FIREFINCH/112.jpg,AFRICAN FIREFINCH
249,../input/100-bird-species/train/AFRICAN FIREFINCH/113.jpg,AFRICAN FIREFINCH
250,../input/100-bird-species/train/AFRICAN FIREFINCH/114.jpg,AFRICAN FIREFINCH
251,../input/100-bird-species/train/AFRICAN FIREFINCH/115.jpg,AFRICAN FIREFINCH
252,../input/100-bird-species/train/AFRICAN FIREFINCH/116.jpg,AFRICAN FIREFINCH
253,../input/100-bird-species/train/AFRICAN FIREFINCH/117.jpg,AFRICAN FIREFINCH
254,../input/100-bird-species/train/AFRICAN FIREFINCH/118.jpg,AFRICAN FIREFINCH
255,../input/100-bird-species/train/AFRICAN FIREFINCH/119.jpg,AFRICAN FIREFINCH
256,../input/100-bird-species/train/AFRICAN FIREFINCH/120.jpg,AFRICAN FIREFINCH
257,../input/100-bird-species/train/AFRICAN FIREFINCH/121.jpg,AFRICAN FIREFINCH
258,../input/100-bird-species/train/AFRICAN FIREFINCH/122.jpg,AFRICAN FIREFINCH
259,../input/100-bird-species/train/AFRICAN FIREFINCH/123.jpg,AFRICAN FIREFINCH
260,../input/100-bird-species/train/AFRICAN FIREFINCH/124.jpg,AFRICAN FIREFINCH
261,../input/100-bird-species/train/AFRICAN FIREFINCH/125.jpg,AFRICAN FIREFINCH
262,../input/100-bird-species/train/AFRICAN FIREFINCH/126.jpg,AFRICAN FIREFINCH
263,../input/100-bird-species/train/AFRICAN FIREFINCH/127.jpg,AFRICAN FIREFINCH
264,../input/100-bird-species/train/AFRICAN FIREFINCH/128.jpg,AFRICAN FIREFINCH
265,../input/100-bird-species/train/AFRICAN FIREFINCH/129.jpg,AFRICAN FIREFINCH
266,../input/100-bird-species/train/AFRICAN FIREFINCH/130.jpg,AFRICAN FIREFINCH
267,../input/100-bird-species/train/AFRICAN FIREFINCH/131.jpg,AFRICAN FIREFINCH
268,../input/100-bird-species/train/AFRICAN FIREFINCH/132.jpg,AFRICAN FIREFINCH
269,../input/100-bird-species/train/AFRICAN FIREFINCH/133.jpg,AFRICAN FIREFINCH
270,../input/100-bird-species/train/AFRICAN FIREFINCH/134.jpg,AFRICAN FIREFINCH
271,../input/100-bird-species/train/AFRICAN FIREFINCH/135.jpg,AFRICAN FIREFINCH
272,../input/100-bird-species/train/AFRICAN FIREFINCH/136.jpg,AFRICAN FIREFINCH
273,../input/100-bird-species/train/AFRICAN FIREFINCH/137.jpg,AFRICAN FIREFINCH
274,../input/100-bird-species/train/AFRICAN FIREFINCH/138.jpg,AFRICAN FIREFINCH
275,../input/100-bird-species/train/AFRICAN FIREFINCH/139.jpg,AFRICAN FIREFINCH
276,../input/100-bird-species/train/AFRICAN FIREFINCH/140.jpg,AFRICAN FIREFINCH
277,../input/100-bird-species/train/ALBATROSS/001.jpg,ALBATROSS
278,../input/100-bird-species/train/ALBATROSS/002.jpg,ALBATROSS
279,../input/100-bird-species/train/ALBATROSS/003.jpg,ALBATROSS
